step,loss
0,2.5400784
10,0.015275839
20,0.00949688
30,0.0070673404
40,0.0056731105
50,0.004753819
60,0.0040851026
70,0.0035750538
80,0.003182189
90,0.0028667003
100,0.0026064857
110,0.0023882524
120,0.002202612
130,0.002042529
140,0.0019029349
150,0.0017800942
160,0.0016714602
170,0.001574877
180,0.0014884726
190,0.0014105275
200,0.0013395488
210,0.00127531
220,0.0012166917
230,0.0011629581
240,0.0011134535
250,0.0010675311
260,0.0010248378
270,0.0009850875
280,0.000948219
290,0.0009139657
300,0.0008819699
310,0.0008520007
320,0.0008239433
330,0.00079756824
340,0.0007727325
350,0.0007493332
360,0.0007272139
370,0.00070651324
380,0.0006870314
390,0.0006686598
400,0.0006512582
410,0.0006347656
420,0.0006190807
430,0.0006041795
440,0.00058996084
450,0.0005763963
460,0.0005634174
470,0.00055101066
480,0.000539124
490,0.0005277291
500,0.0005167827
510,0.00050627143
520,0.0004961431
530,0.0004864186
540,0.0004770592
550,0.00046806486
560,0.00045938193
570,0.00045100896
580,0.00044291466
590,0.00043509304
600,0.0004275471
610,0.0004202485
620,0.00041318833
630,0.00040635318
640,0.00039974897
650,0.00039333553
660,0.00038712323
670,0.0003810972
680,0.00037523507
690,0.00036955328
700,0.00036402716
710,0.00035864487
720,0.00035342277
730,0.00034833775
740,0.00034339802
750,0.00033858122
760,0.00033390374
770,0.00032934843
780,0.00032490044
790,0.0003205821
